Temp,do,ph,co,bod,year
27,7.7,440,6.5,2.4,2003
28,6.4,1579,5.8,1.7,2003
27,6.8,62,7.5,1.5,2003
28,6.9,44,6.8,1,2003
28,6.9,62,6.8,0.4,2003
28,7,9416,6.7,0.5,2003
24,6.9,39,6.9,1.1,2003
28,7.1,53,6.9,1.4,2003
28,6.9,102,6.4,1.2,2003
27,6.8,437,5.7,1.1,2003
27,7.3,58,7,0.6,2003
26,6.9,1835,5.9,1.2,2003
27,6.8,60,5,0.9,2003
29,7.2,80,6.8,0.8,2003
27,7,42,7.3,0.4,2003
26,7,51,6.7,0.5,2003
26,7.1,58,6.8,0.5,2003
26,7,63,6.4,0.6,2003
27,6.8,72,6.6,0.6,2003
26,6.8,83,6.5,0.9,2003
24,7,69,6.4,1.2,2003
28,6.8,88,6.9,0.9,2003
27,6.9,31,7,0.5,2003
27,6.8,46,6.9,0.5,2003
26,7.2,20850,6.5,0.9,2003
25,7,24336,6.7,1.1,2003
25,7.1,77,7.2,0.3,2003
25,7.1,76,7,0.4,2003
29,6.5,3384,3.7,1.9,2003
26,7.7,280,6.6,5.7,2003
27,7.8,183,6.9,5,2003
24,7.7,107,6.8,5.2,2003
25,7.5,185,5.6,6.5,2003
27,7.3,157,6,5.6,2003
28,7.4,150,6.3,6,2003
26,7.4,139,5.8,5.9,2003
21,7.3,111,7.1,2.4,2003
21,7.4,74,7.5,1.2,2003
21,7.5,77,7.4,3.2,2003
21,7.3,97,7.3,1.9,2003
21,7.4,121,7.5,2.7,2003
21,7.4,142,6.7,1.3,2003
23,7.3,112,8.1,17.2,2003
21,7.5,124,3.7,18.5,2003
20,6.9,223,6.3,6.8,2003
17,3.1,493,5.8,5.9,2003
15,6.9,142,7.3,2.2,2003
20,6.9,145,7.8,1.8,2003
21,7,145,7.3,2.3,2003
30,8.1,569,8.2,1.6,2003
27,7.7,28598,7.7,1.7,2003
30,7.4,219,6.8,3,2003
29,7.2,198,7.2,2.1,2003
29,8,978,5.4,9,2003
21,7.6,203,6.3,1.9,2003
29,7.2,150,7.5,1.3,2003
31,7.3,178,6.7,1.5,2003
29,7.1,214,6.8,2.3,2003
0,7.5,293,7.2,1.2,2003
28,6.9,146,7.1,2,2003
28,7,136,7.5,1.4,2003
0,7.9,738,7.2,2.7,2003
29,7.5,585,6.3,2.6,2003
28,7.6,98,6.2,1.2,2003
28,7.7,91,6.5,1.3,2003
29,7.6,110,5.7,1.1,2003
